Year,Part,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7
Year 4,P15,E: 2,G: 2,F: 3,H: 6,J: 6,,
Year 4,P16,F: 4,H: 16,I: 4,J: 8,,,
Year 4,P17,K: 3,L: 11,M: 13,,,,
Year 4,P18,K: 7,L: 7,K: 7,M: 19,,,
Year 4,P19,L: 30,M: 44,L: 30,M: 44,,,
Year 4,P2,A: 5,C: 2,D: 9,H: 4,J: 9,,
Year 4,P20,L: 12,K: 5,M: 17,,,,
Year 4,P3,B: 9,D: 16,C: 4,I: 8,J: 13,,
Year 4,P4,A: 3,B: 6,D: 8,G: 1,H: 4,,
Year 4,P5,B: 4,C: 2,D: 9,I: 5,,,
Year 4,P6,A: 2,B: 4,C: 2,D: 8,H: 3,I: 4,J: 8
Year 4,P7,E: 4,F: 6,C: 3,D: 14,I: 5,J: 8,
Year 4,P8,E: 6,H: 10,J: 3,I: 5,,,
Year 4,P9,F: 6,G: 4,E: 4,G: 4,I: 4,J: 10,
Year 5,P1,B: 36,A: 8,B: 36,C: 4,D: 18,I: 9,J: 18
Year 5,P10,E: 3,F: 4,I: 3,J: 4,,,
Year 5,P11,E: 17,G: 5,E: 17,G: 5,I: 5,,
Year 5,P12,E: 8,G: 4,F: 8,I: 9,J: 16,,
Year 5,P13,E: 5,F: 8,G: 3,F: 8,G: 3,H: 7,I: 5
Year 5,P14,E: 7,F: 10,G: 4,H: 12,,,
Year 5,P15,E: 3,G: 2,F: 4,H: 8,J: 8,,
Year 5,P16,F: 5,H: 17,I: 5,J: 9,,,
Year 5,P17,K: 4,L: 14,M: 16,,,,
Year 5,P18,K: 7,L: 7,K: 7,M: 20,,,
Year 5,P19,L: 32,M: 47,L: 32,M: 47,,,
Year 5,P2,A: 5,C: 2,D: 9,H: 4,J: 9,,
Year 5,P20,L: 13,K: 5,M: 19,,,,
Year 5,P3,B: 12,D: 20,C: 5,I: 10,J: 16,,
Year 5,P4,A: 3,B: 6,D: 8,G: 1,H: 4,,
Year 5,P5,B: 5,C: 3,D: 11,I: 6,,,
Year 5,P6,A: 3,B: 4,C: 2,D: 9,H: 3,I: 4,J: 9
Year 5,P7,E: 5,F: 7,C: 4,D: 15,I: 6,J: 9,
Year 5,P8,E: 8,H: 12,J: 3,I: 6,,,
Year 5,P9,F: 7,G: 5,E: 5,G: 5,I: 5,J: 11,
