Year,Part,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7
Year 4,P2,A: 9,C: 4,D: 18,H: 8,J: 18,,
Year 4,P20,L: 23,K: 9,M: 34,,,,
Year 4,P3,B: 18,D: 31,C: 8,I: 16,J: 26,,
Year 4,P4,A: 6,B: 11,D: 16,G: 2,H: 7,,
Year 4,P5,B: 8,C: 4,D: 18,I: 9,,,
Year 4,P6,A: 4,B: 7,C: 3,D: 16,H: 6,I: 7,J: 15
Year 4,P7,E: 8,F: 12,C: 6,D: 28,I: 10,J: 16,
Year 4,P8,E: 12,H: 19,J: 5,I: 10,,,
Year 4,P9,F: 11,G: 8,E: 8,G: 8,I: 8,J: 19,
Year 5,P1,B: 71,A: 15,B: 71,C: 8,D: 36,I: 18,J: 36
Year 5,P10,E: 6,F: 7,I: 5,J: 8,,,
Year 5,P11,E: 33,G: 10,E: 33,G: 10,I: 10,,
Year 5,P12,E: 15,G: 8,F: 15,I: 18,J: 32,,
Year 5,P13,E: 9,F: 16,G: 6,F: 16,G: 6,H: 14,I: 9
Year 5,P14,E: 13,F: 19,G: 7,H: 23,,,
Year 5,P15,E: 5,G: 3,F: 8,H: 15,J: 15,,
Year 5,P16,F: 9,H: 33,I: 9,J: 17,,,
Year 5,P17,K: 7,L: 27,M: 31,,,,
Year 5,P18,K: 14,L: 14,K: 14,M: 40,,,
Year 5,P19,L: 64,M: 94,L: 64,M: 94,,,
Year 5,P2,A: 9,C: 4,D: 18,H: 7,J: 18,,
Year 5,P20,L: 25,K: 10,M: 37,,,,
Year 5,P3,B: 23,D: 39,C: 10,I: 20,J: 32,,
Year 5,P4,A: 6,B: 11,D: 16,G: 2,H: 7,,
Year 5,P5,B: 9,C: 5,D: 21,I: 11,,,
Year 5,P6,A: 5,B: 8,C: 3,D: 18,H: 6,I: 8,J: 17
Year 5,P7,E: 9,F: 13,C: 7,D: 29,I: 11,J: 17,
Year 5,P8,E: 15,H: 24,J: 6,I: 12,,,
Year 5,P9,F: 13,G: 9,E: 9,G: 9,I: 9,J: 21,
