Year,Process,Part,Weekly_Part_Demand,Time_Per_Unit_Minutes,Total_Weekly_Minutes
Year 2,F,P12,18200.0,1.0,18200.0
Year 2,F,P13,9100.0,1.25,11375.0
Year 2,F,P13,9100.0,1.0,9100.0
Year 2,F,P14,24600.0,1.5,36900.0
Year 2,F,P15,6000.0,1.25,7500.0
Year 2,F,P16,12800.0,1.25,16000.0
Year 2,F,P7,16900.0,1.5,25350.0
Year 2,F,P9,11400.0,1.75,19950.0
Year 2,G,P11,15200.0,0.5,7600.0
Year 2,G,P11,15200.0,0.25,3800.0
Year 2,G,P12,18200.0,0.5,9100.0
Year 2,G,P13,9100.0,0.5,4550.0
Year 2,G,P13,9100.0,0.25,2275.0
Year 2,G,P14,24600.0,0.5,12300.0
Year 2,G,P15,6000.0,0.5,3000.0
Year 2,G,P4,10200.0,0.25,2550.0
Year 2,G,P9,11400.0,0.75,8550.0
Year 2,G,P9,11400.0,0.5,5700.0
Year 2,H,P13,9100.0,2.0,18200.0
Year 2,H,P14,24600.0,1.75,43050.0
Year 2,H,P15,6000.0,2.5,15000.0
Year 2,H,P16,12800.0,5.0,64000.0
Year 2,H,P2,15400.0,1.0,15400.0
Year 2,H,P4,10200.0,1.25,12750.0
Year 2,H,P6,8700.0,1.0,8700.0
Year 2,H,P8,12200.0,2.0,24400.0
Year 2,I,P1,26100.0,1.25,32625.0
Year 2,I,P10,6800.0,1.25,8500.0
Year 2,I,P11,15200.0,0.75,11400.0
Year 2,I,P12,18200.0,1.25,22750.0
Year 2,I,P13,9100.0,1.25,11375.0
Year 2,I,P16,12800.0,1.25,16000.0
Year 2,I,P3,12600.0,1.5,18900.0
Year 2,I,P5,8900.0,1.75,15575.0
Year 2,I,P6,8700.0,1.25,10875.0
Year 2,I,P7,16900.0,1.25,21125.0
Year 2,I,P8,12200.0,1.0,12200.0
Year 2,I,P9,11400.0,1.25,14250.0
Year 2,J,P1,26100.0,2.5,65250.0
Year 2,J,P10,6800.0,2.0,13600.0
Year 2,J,P12,18200.0,2.25,40950.0
Year 2,J,P15,6000.0,2.5,15000.0
Year 2,J,P16,12800.0,2.5,32000.0
Year 2,J,P2,15400.0,2.5,38500.0
Year 2,J,P3,12600.0,2.5,31500.0
Year 2,J,P6,8700.0,2.75,23925.0
Year 2,J,P7,16900.0,2.0,33800.0
Year 2,J,P8,12200.0,0.5,6100.0
Year 2,J,P9,11400.0,3.0,34200.0
Year 2,K,P17,10800.0,0.75,8100.0
Year 2,K,P18,17700.0,0.75,13275.0
Year 2,K,P18,17700.0,0.5,8850.0
Year 2,K,P20,21100.0,0.75,15825.0
Year 2,L,P17,10800.0,3.0,32400.0
Year 2,L,P18,17700.0,1.25,22125.0
Year 2,L,P19,25800.0,2.25,58050.0
Year 2,L,P19,25800.0,2.0,51600.0
Year 2,L,P20,21100.0,2.0,42200.0
Year 2,M,P17,10800.0,3.5,37800.0
Year 2,M,P18,17700.0,3.75,66375.0
Year 2,M,P19,25800.0,2.5,64500.0
Year 2,M,P19,25800.0,3.75,96750.0
Year 2,M,P20,21100.0,3.0,63300.0
Year 3,A,P1,27300.0,1.0,27300.0
Year 3,A,P2,15300.0,1.25,19125.0
Year 3,A,P4,10500.0,1.0,10500.0
Year 3,A,P6,9900.0,0.75,7425.0
Year 3,B,P1,27300.0,2.5,68250.0
Year 3,B,P1,27300.0,2.5,68250.0
Year 3,B,P3,17000.0,1.75,29750.0
Year 3,B,P4,10500.0,2.0,21000.0
Year 3,B,P5,9800.0,1.5,14700.0
Year 3,B,P6,9900.0,1.25,12375.0
Year 3,C,P1,27300.0,0.5,13650.0
Year 3,C,P2,15300.0,0.5,7650.0
Year 3,C,P3,17000.0,0.75,12750.0
Year 3,C,P5,9800.0,0.75,7350.0
Year 3,C,P6,9900.0,0.5,4950.0
Year 3,C,P7,16900.0,0.75,12675.0
Year 3,D,P1,27300.0,2.5,68250.0
Year 3,D,P2,15300.0,2.5,38250.0
Year 3,D,P3,17000.0,3.0,51000.0
Year 3,D,P4,10500.0,3.0,31500.0
Year 3,D,P5,9800.0,3.5,34300.0
Year 3,D,P6,9900.0,3.0,29700.0
Year 3,D,P7,16900.0,3.5,59150.0
Year 3,E,P10,7200.0,1.5,10800.0
Year 3,E,P11,18800.0,1.25,23500.0
Year 3,E,P11,18800.0,1.25,23500.0
Year 3,E,P12,21700.0,1.0,21700.0
Year 3,E,P13,10600.0,1.25,13250.0
Year 3,E,P14,25200.0,1.0,25200.0
Year 3,E,P15,7700.0,0.75,5775.0
Year 3,E,P7,16900.0,1.0,16900.0
Year 3,E,P8,15900.0,1.25,19875.0
Year 3,E,P9,12300.0,1.25,15375.0
Year 3,F,P10,7200.0,1.75,12600.0
Year 3,F,P12,21700.0,1.0,21700.0
Year 3,F,P13,10600.0,1.25,13250.0
Year 3,F,P13,10600.0,1.0,10600.0
Year 3,F,P14,25200.0,1.5,37800.0
Year 3,F,P15,7700.0,1.25,9625.0
Year 3,F,P16,13100.0,1.25,16375.0
Year 3,F,P7,16900.0,1.5,25350.0
Year 3,F,P9,12300.0,1.75,21525.0
Year 3,G,P11,18800.0,0.5,9400.0
Year 3,G,P11,18800.0,0.25,4700.0
Year 3,G,P12,21700.0,0.5,10850.0
Year 3,G,P13,10600.0,0.5,5300.0
Year 3,G,P13,10600.0,0.25,2650.0
Year 3,G,P14,25200.0,0.5,12600.0
Year 3,G,P15,7700.0,0.5,3850.0
Year 3,G,P4,10500.0,0.25,2625.0
Year 3,G,P9,12300.0,0.75,9225.0
Year 3,G,P9,12300.0,0.5,6150.0
Year 3,H,P13,10600.0,2.0,21200.0
Year 3,H,P14,25200.0,1.75,44100.0
Year 3,H,P15,7700.0,2.5,19250.0
Year 3,H,P16,13100.0,5.0,65500.0
Year 3,H,P2,15300.0,1.0,15300.0
Year 3,H,P4,10500.0,1.25,13125.0
Year 3,H,P6,9900.0,1.0,9900.0
Year 3,H,P8,15900.0,2.0,31800.0
Year 3,I,P1,27300.0,1.25,34125.0
Year 3,I,P10,7200.0,1.25,9000.0
Year 3,I,P11,18800.0,0.75,14100.0
Year 3,I,P12,21700.0,1.25,27125.0
Year 3,I,P13,10600.0,1.25,13250.0
Year 3,I,P16,13100.0,1.25,16375.0
Year 3,I,P3,17000.0,1.5,25500.0
Year 3,I,P5,9800.0,1.75,17150.0
Year 3,I,P6,9900.0,1.25,12375.0
Year 3,I,P7,16900.0,1.25,21125.0
Year 3,I,P8,15900.0,1.0,15900.0
Year 3,I,P9,12300.0,1.25,15375.0
Year 3,J,P1,27300.0,2.5,68250.0
Year 3,J,P10,7200.0,2.0,14400.0
Year 3,J,P12,21700.0,2.25,48825.0
Year 3,J,P15,7700.0,2.5,19250.0
Year 3,J,P16,13100.0,2.5,32750.0
Year 3,J,P2,15300.0,2.5,38250.0
Year 3,J,P3,17000.0,2.5,42500.0
Year 3,J,P6,9900.0,2.75,27225.0
Year 3,J,P7,16900.0,2.0,33800.0
Year 3,J,P8,15900.0,0.5,7950.0
Year 3,J,P9,12300.0,3.0,36900.0
Year 3,K,P17,13100.0,0.75,9825.0
Year 3,K,P18,19200.0,0.75,14400.0
Year 3,K,P18,19200.0,0.5,9600.0
Year 3,K,P20,22500.0,0.75,16875.0
Year 3,L,P17,13100.0,3.0,39300.0
Year 3,L,P18,19200.0,1.25,24000.0
Year 3,L,P19,27600.0,2.25,62100.0
Year 3,L,P19,27600.0,2.0,55200.0
Year 3,L,P20,22500.0,2.0,45000.0
Year 3,M,P17,13100.0,3.5,45850.0
Year 3,M,P18,19200.0,3.75,72000.0
Year 3,M,P19,27600.0,2.5,69000.0
Year 3,M,P19,27600.0,3.75,103500.0
Year 3,M,P20,22500.0,3.0,67500.0
Year 4,A,P1,28500.0,1.0,28500.0
Year 4,A,P2,15200.0,1.25,19000.0
Year 4,A,P4,10800.0,1.0,10800.0
Year 4,A,P6,11100.0,0.75,8325.0
Year 4,B,P1,28500.0,2.5,71250.0
Year 4,B,P1,28500.0,2.5,71250.0
Year 4,B,P3,21400.0,1.75,37450.0
Year 4,B,P4,10800.0,2.0,21600.0
Year 4,B,P5,10700.0,1.5,16050.0
Year 4,B,P6,11100.0,1.25,13875.0
Year 4,C,P1,28500.0,0.5,14250.0
Year 4,C,P2,15200.0,0.5,7600.0
Year 4,C,P3,21400.0,0.75,16050.0
Year 4,C,P5,10700.0,0.75,8025.0
Year 4,C,P6,11100.0,0.5,5550.0
Year 4,C,P7,16900.0,0.75,12675.0
Year 4,D,P1,28500.0,2.5,71250.0
Year 4,D,P2,15200.0,2.5,38000.0
Year 4,D,P3,21400.0,3.0,64200.0
Year 4,D,P4,10800.0,3.0,32400.0
Year 4,D,P5,10700.0,3.5,37450.0
Year 4,D,P6,11100.0,3.0,33300.0
Year 4,D,P7,16900.0,3.5,59150.0
Year 4,E,P10,7600.0,1.5,11400.0
Year 4,E,P11,22400.0,1.25,28000.0
Year 4,E,P11,22400.0,1.25,28000.0
Year 4,E,P12,25200.0,1.0,25200.0
Year 4,E,P13,12100.0,1.25,15125.0
Year 4,E,P14,25800.0,1.0,25800.0
Year 4,E,P15,9400.0,0.75,7050.0
Year 4,E,P7,16900.0,1.0,16900.0
Year 4,E,P8,19600.0,1.25,24500.0
Year 4,E,P9,13200.0,1.25,16500.0
Year 4,F,P10,7600.0,1.75,13300.0
Year 4,F,P12,25200.0,1.0,25200.0
Year 4,F,P13,12100.0,1.25,15125.0
Year 4,F,P13,12100.0,1.0,12100.0
Year 4,F,P14,25800.0,1.5,38700.0
Year 4,F,P15,9400.0,1.25,11750.0
Year 4,F,P16,13400.0,1.25,16750.0
Year 4,F,P7,16900.0,1.5,25350.0
Year 4,F,P9,13200.0,1.75,23100.0
Year 4,G,P11,22400.0,0.5,11200.0
Year 4,G,P11,22400.0,0.25,5600.0
Year 4,G,P12,25200.0,0.5,12600.0
Year 4,G,P13,12100.0,0.5,6050.0
Year 4,G,P13,12100.0,0.25,3025.0
Year 4,G,P14,25800.0,0.5,12900.0
Year 4,G,P15,9400.0,0.5,4700.0
Year 4,G,P4,10800.0,0.25,2700.0
Year 4,G,P9,13200.0,0.75,9900.0
Year 4,G,P9,13200.0,0.5,6600.0
Year 4,H,P13,12100.0,2.0,24200.0
Year 4,H,P14,25800.0,1.75,45150.0
Year 4,H,P15,9400.0,2.5,23500.0
Year 4,H,P16,13400.0,5.0,67000.0
Year 4,H,P2,15200.0,1.0,15200.0
Year 4,H,P4,10800.0,1.25,13500.0
Year 4,H,P6,11100.0,1.0,11100.0
Year 4,H,P8,19600.0,2.0,39200.0
Year 4,I,P1,28500.0,1.25,35625.0
Year 4,I,P10,7600.0,1.25,9500.0
Year 4,I,P11,22400.0,0.75,16800.0
Year 4,I,P12,25200.0,1.25,31500.0
Year 4,I,P13,12100.0,1.25,15125.0
Year 4,I,P16,13400.0,1.25,16750.0
Year 4,I,P3,21400.0,1.5,32100.0
Year 4,I,P5,10700.0,1.75,18725.0
Year 4,I,P6,11100.0,1.25,13875.0
Year 4,I,P7,16900.0,1.25,21125.0
Year 4,I,P8,19600.0,1.0,19600.0
Year 4,I,P9,13200.0,1.25,16500.0
Year 4,J,P1,28500.0,2.5,71250.0
Year 4,J,P10,7600.0,2.0,15200.0
Year 4,J,P12,25200.0,2.25,56700.0
Year 4,J,P15,9400.0,2.5,23500.0
Year 4,J,P16,13400.0,2.5,33500.0
Year 4,J,P2,15200.0,2.5,38000.0
Year 4,J,P3,21400.0,2.5,53500.0
Year 4,J,P6,11100.0,2.75,30525.0
Year 4,J,P7,16900.0,2.0,33800.0
Year 4,J,P8,19600.0,0.5,9800.0
Year 4,J,P9,13200.0,3.0,39600.0
Year 4,K,P17,15400.0,0.75,11550.0
Year 4,K,P18,20700.0,0.75,15525.0
Year 4,K,P18,20700.0,0.5,10350.0
Year 4,K,P20,23900.0,0.75,17925.0
Year 4,L,P17,15400.0,3.0,46200.0
Year 4,L,P18,20700.0,1.25,25875.0
Year 4,L,P19,29400.0,2.25,66150.0
Year 4,L,P19,29400.0,2.0,58800.0
Year 4,L,P20,23900.0,2.0,47800.0
Year 4,M,P17,15400.0,3.5,53900.0
Year 4,M,P18,20700.0,3.75,77625.0
Year 4,M,P19,29400.0,2.5,73500.0
Year 4,M,P19,29400.0,3.75,110250.0
Year 4,M,P20,23900.0,3.0,71700.0
Year 5,A,P1,29800.0,1.0,29800.0
Year 5,A,P2,14800.0,1.25,18500.0
Year 5,A,P4,11100.0,1.0,11100.0
Year 5,A,P6,12500.0,0.75,9375.0
Year 5,B,P1,29800.0,2.5,74500.0
Year 5,B,P1,29800.0,2.5,74500.0
Year 5,B,P3,26900.0,1.75,47075.0
Year 5,B,P4,11100.0,2.0,22200.0
Year 5,B,P5,12100.0,1.5,18150.0
Year 5,B,P6,12500.0,1.25,15625.0
Year 5,C,P1,29800.0,0.5,14900.0
Year 5,C,P2,14800.0,0.5,7400.0
Year 5,C,P3,26900.0,0.75,20175.0
Year 5,C,P5,12100.0,0.75,9075.0
Year 5,C,P6,12500.0,0.5,6250.0
Year 5,C,P7,17000.0,0.75,12750.0
Year 5,D,P1,29800.0,2.5,74500.0
Year 5,D,P2,14800.0,2.5,37000.0
Year 5,D,P3,26900.0,3.0,80700.0
Year 5,D,P4,11100.0,3.0,33300.0
Year 5,D,P5,12100.0,3.5,42350.0
Year 5,D,P6,12500.0,3.0,37500.0
Year 5,D,P7,17000.0,3.5,59500.0
Year 5,E,P10,8000.0,1.5,12000.0
Year 5,E,P11,27800.0,1.25,34750.0
Year 5,E,P11,27800.0,1.25,34750.0
Year 5,E,P12,29800.0,1.0,29800.0
Year 5,E,P13,14400.0,1.25,18000.0
Year 5,E,P14,26800.0,1.0,26800.0
Year 5,E,P15,12200.0,0.75,9150.0
Year 5,E,P7,17000.0,1.0,17000.0
Year 5,E,P8,24600.0,1.25,30750.0
Year 5,E,P9,14600.0,1.25,18250.0
Year 5,F,P10,8000.0,1.75,14000.0
Year 5,F,P12,29800.0,1.0,29800.0
Year 5,F,P13,14400.0,1.25,18000.0
Year 5,F,P13,14400.0,1.0,14400.0
Year 5,F,P14,26800.0,1.5,40200.0
Year 5,F,P15,12200.0,1.25,15250.0
Year 5,F,P16,13700.0,1.25,17125.0
Year 5,F,P7,17000.0,1.5,25500.0
Year 5,F,P9,14600.0,1.75,25550.0
Year 5,G,P11,27800.0,0.5,13900.0
Year 5,G,P11,27800.0,0.25,6950.0
Year 5,G,P12,29800.0,0.5,14900.0
Year 5,G,P13,14400.0,0.5,7200.0
Year 5,G,P13,14400.0,0.25,3600.0
Year 5,G,P14,26800.0,0.5,13400.0
Year 5,G,P15,12200.0,0.5,6100.0
Year 5,G,P4,11100.0,0.25,2775.0
Year 5,G,P9,14600.0,0.75,10950.0
Year 5,G,P9,14600.0,0.5,7300.0
Year 5,H,P13,14400.0,2.0,28800.0
Year 5,H,P14,26800.0,1.75,46900.0
Year 5,H,P15,12200.0,2.5,30500.0
Year 5,H,P16,13700.0,5.0,68500.0
Year 5,H,P2,14800.0,1.0,14800.0
Year 5,H,P4,11100.0,1.25,13875.0
Year 5,H,P6,12500.0,1.0,12500.0
Year 5,H,P8,24600.0,2.0,49200.0
Year 5,I,P1,29800.0,1.25,37250.0
Year 5,I,P10,8000.0,1.25,10000.0
Year 5,I,P11,27800.0,0.75,20850.0
Year 5,I,P12,29800.0,1.25,37250.0
Year 5,I,P13,14400.0,1.25,18000.0
Year 5,I,P16,13700.0,1.25,17125.0
Year 5,I,P3,26900.0,1.5,40350.0
Year 5,I,P5,12100.0,1.75,21175.0
Year 5,I,P6,12500.0,1.25,15625.0
Year 5,I,P7,17000.0,1.25,21250.0
Year 5,I,P8,24600.0,1.0,24600.0
Year 5,I,P9,14600.0,1.25,18250.0
Year 5,J,P1,29800.0,2.5,74500.0
Year 5,J,P10,8000.0,2.0,16000.0
Year 5,J,P12,29800.0,2.25,67050.0
Year 5,J,P15,12200.0,2.5,30500.0
Year 5,J,P16,13700.0,2.5,34250.0
Year 5,J,P2,14800.0,2.5,37000.0
Year 5,J,P3,26900.0,2.5,67250.0
Year 5,J,P6,12500.0,2.75,34375.0
Year 5,J,P7,17000.0,2.0,34000.0
Year 5,J,P8,24600.0,0.5,12300.0
Year 5,J,P9,14600.0,3.0,43800.0
Year 5,K,P17,18600.0,0.75,13950.0
Year 5,K,P18,22300.0,0.75,16725.0
Year 5,K,P18,22300.0,0.5,11150.0
Year 5,K,P20,25700.0,0.75,19275.0
Year 5,L,P17,18600.0,3.0,55800.0
Year 5,L,P18,22300.0,1.25,27875.0
Year 5,L,P19,31500.0,2.25,70875.0
Year 5,L,P19,31500.0,2.0,63000.0
Year 5,L,P20,25700.0,2.0,51400.0
Year 5,M,P17,18600.0,3.5,65100.0
Year 5,M,P18,22300.0,3.75,83625.0
Year 5,M,P19,31500.0,2.5,78750.0
Year 5,M,P19,31500.0,3.75,118125.0
Year 5,M,P20,25700.0,3.0,77100.0
