Year,Part,Step,Operation,Weekly_Demand_Units,Time_Required_Min_Week,Number_of_Machines
Year 2,P7,1,E,16900.0,16900.0,8.0
Year 2,P7,2,F,16900.0,25350.0,12.0
Year 2,P7,3,C,16900.0,12675.0,6.0
Year 2,P7,4,D,16900.0,59150.0,28.0
Year 2,P7,5,I,16900.0,21125.0,10.0
Year 2,P7,6,J,16900.0,33800.0,16.0
Year 2,P8,1,E,12200.0,15250.0,8.0
Year 2,P8,2,H,12200.0,24400.0,12.0
Year 2,P8,3,J,12200.0,6100.0,3.0
Year 2,P8,4,I,12200.0,12200.0,6.0
Year 2,P9,1,F,11400.0,19950.0,10.0
Year 2,P9,2,G,11400.0,8550.0,7.0
Year 2,P9,3,E,11400.0,14250.0,7.0
Year 2,P9,4,G,11400.0,5700.0,7.0
Year 2,P9,5,I,11400.0,14250.0,7.0
Year 2,P9,6,J,11400.0,34200.0,17.0
Year 2,P10,1,E,6800.0,10200.0,5.0
Year 2,P10,2,F,6800.0,11900.0,6.0
Year 2,P10,3,I,6800.0,8500.0,5.0
Year 2,P10,4,J,6800.0,13600.0,7.0
Year 2,P11,1,E,15200.0,19000.0,18.0
Year 2,P11,2,G,15200.0,7600.0,6.0
Year 2,P11,3,E,15200.0,19000.0,18.0
Year 2,P11,4,G,15200.0,3800.0,6.0
Year 2,P11,5,I,15200.0,11400.0,6.0
Year 2,P12,1,E,18200.0,18200.0,9.0
Year 2,P12,2,G,18200.0,9100.0,5.0
Year 2,P12,3,F,18200.0,18200.0,9.0
Year 2,P12,4,I,18200.0,22750.0,11.0
Year 2,P12,5,J,18200.0,40950.0,20.0
Year 2,P13,1,E,9100.0,11375.0,6.0
Year 2,P13,2,F,9100.0,11375.0,10.0
Year 2,P13,3,G,9100.0,4550.0,4.0
Year 2,P13,4,F,9100.0,9100.0,10.0
Year 2,P13,5,G,9100.0,2275.0,4.0
Year 2,P13,6,H,9100.0,18200.0,9.0
Year 2,P13,7,I,9100.0,11375.0,6.0
Year 2,P14,1,E,24600.0,24600.0,12.0
Year 2,P14,2,F,24600.0,36900.0,18.0
Year 2,P14,3,G,24600.0,12300.0,6.0
Year 2,P14,4,H,24600.0,43050.0,21.0
Year 2,P15,1,E,6000.0,4500.0,3.0
Year 2,P15,2,G,6000.0,3000.0,2.0
Year 2,P15,3,F,6000.0,7500.0,4.0
Year 2,P15,4,H,6000.0,15000.0,8.0
Year 2,P15,5,J,6000.0,15000.0,8.0
Year 2,P16,1,F,12800.0,16000.0,8.0
Year 2,P16,2,H,12800.0,64000.0,31.0
Year 2,P16,3,I,12800.0,16000.0,8.0
Year 2,P16,4,J,12800.0,32000.0,16.0
Year 2,P17,1,K,10800.0,8100.0,4.0
Year 2,P17,2,L,10800.0,32400.0,16.0
Year 2,P17,3,M,10800.0,37800.0,18.0
Year 2,P18,1,K,17700.0,13275.0,11.0
Year 2,P18,2,L,17700.0,22125.0,11.0
Year 2,P18,3,K,17700.0,8850.0,11.0
Year 2,P18,4,M,17700.0,66375.0,32.0
Year 2,P19,1,L,25800.0,58050.0,52.0
Year 2,P19,2,M,25800.0,64500.0,77.0
Year 2,P19,3,L,25800.0,51600.0,52.0
Year 2,P19,4,M,25800.0,96750.0,77.0
Year 2,P20,1,L,21100.0,42200.0,20.0
Year 2,P20,2,K,21100.0,15825.0,8.0
Year 2,P20,3,M,21100.0,63300.0,30.0
Year 3,P1,1,B,27300.0,68250.0,65.0
Year 3,P1,2,A,27300.0,27300.0,13.0
Year 3,P1,3,B,27300.0,68250.0,65.0
Year 3,P1,4,C,27300.0,13650.0,7.0
Year 3,P1,5,D,27300.0,68250.0,33.0
Year 3,P1,6,I,27300.0,34125.0,17.0
Year 3,P1,7,J,27300.0,68250.0,33.0
Year 3,P2,1,A,15300.0,19125.0,10.0
Year 3,P2,2,C,15300.0,7650.0,4.0
Year 3,P2,3,D,15300.0,38250.0,19.0
Year 3,P2,4,H,15300.0,15300.0,8.0
Year 3,P2,5,J,15300.0,38250.0,19.0
Year 3,P3,1,B,17000.0,29750.0,15.0
Year 3,P3,2,D,17000.0,51000.0,25.0
Year 3,P3,3,C,17000.0,12750.0,7.0
Year 3,P3,4,I,17000.0,25500.0,13.0
Year 3,P3,5,J,17000.0,42500.0,21.0
Year 3,P4,1,A,10500.0,10500.0,5.0
Year 3,P4,2,B,10500.0,21000.0,10.0
Year 3,P4,3,D,10500.0,31500.0,15.0
Year 3,P4,4,G,10500.0,2625.0,2.0
Year 3,P4,5,H,10500.0,13125.0,7.0
Year 3,P5,1,B,9800.0,14700.0,7.0
Year 3,P5,2,C,9800.0,7350.0,4.0
Year 3,P5,3,D,9800.0,34300.0,17.0
Year 3,P5,4,I,9800.0,17150.0,9.0
Year 3,P6,1,A,9900.0,7425.0,4.0
Year 3,P6,2,B,9900.0,12375.0,6.0
Year 3,P6,3,C,9900.0,4950.0,3.0
Year 3,P6,4,D,9900.0,29700.0,15.0
Year 3,P6,5,H,9900.0,9900.0,5.0
Year 3,P6,6,I,9900.0,12375.0,6.0
Year 3,P6,7,J,9900.0,27225.0,13.0
Year 3,P7,1,E,16900.0,16900.0,8.0
Year 3,P7,2,F,16900.0,25350.0,12.0
Year 3,P7,3,C,16900.0,12675.0,6.0
Year 3,P7,4,D,16900.0,59150.0,28.0
Year 3,P7,5,I,16900.0,21125.0,10.0
Year 3,P7,6,J,16900.0,33800.0,16.0
Year 3,P8,1,E,15900.0,19875.0,10.0
Year 3,P8,2,H,15900.0,31800.0,16.0
Year 3,P8,3,J,15900.0,7950.0,4.0
Year 3,P8,4,I,15900.0,15900.0,8.0
Year 3,P9,1,F,12300.0,21525.0,11.0
Year 3,P9,2,G,12300.0,9225.0,8.0
Year 3,P9,3,E,12300.0,15375.0,8.0
Year 3,P9,4,G,12300.0,6150.0,8.0
Year 3,P9,5,I,12300.0,15375.0,8.0
Year 3,P9,6,J,12300.0,36900.0,18.0
Year 3,P10,1,E,7200.0,10800.0,6.0
Year 3,P10,2,F,7200.0,12600.0,6.0
Year 3,P10,3,I,7200.0,9000.0,5.0
Year 3,P10,4,J,7200.0,14400.0,7.0
Year 3,P11,1,E,18800.0,23500.0,23.0
Year 3,P11,2,G,18800.0,9400.0,7.0
Year 3,P11,3,E,18800.0,23500.0,23.0
Year 3,P11,4,G,18800.0,4700.0,7.0
Year 3,P11,5,I,18800.0,14100.0,7.0
Year 3,P12,1,E,21700.0,21700.0,11.0
Year 3,P12,2,G,21700.0,10850.0,6.0
Year 3,P12,3,F,21700.0,21700.0,11.0
Year 3,P12,4,I,21700.0,27125.0,13.0
Year 3,P12,5,J,21700.0,48825.0,24.0
Year 3,P13,1,E,10600.0,13250.0,7.0
Year 3,P13,2,F,10600.0,13250.0,12.0
Year 3,P13,3,G,10600.0,5300.0,4.0
Year 3,P13,4,F,10600.0,10600.0,12.0
Year 3,P13,5,G,10600.0,2650.0,4.0
Year 3,P13,6,H,10600.0,21200.0,11.0
Year 3,P13,7,I,10600.0,13250.0,7.0
Year 3,P14,1,E,25200.0,25200.0,12.0
Year 3,P14,2,F,25200.0,37800.0,18.0
Year 3,P14,3,G,25200.0,12600.0,6.0
Year 3,P14,4,H,25200.0,44100.0,21.0
Year 3,P15,1,E,7700.0,5775.0,3.0
Year 3,P15,2,G,7700.0,3850.0,2.0
Year 3,P15,3,F,7700.0,9625.0,5.0
Year 3,P15,4,H,7700.0,19250.0,10.0
Year 3,P15,5,J,7700.0,19250.0,10.0
Year 3,P16,1,F,13100.0,16375.0,8.0
Year 3,P16,2,H,13100.0,65500.0,31.0
Year 3,P16,3,I,13100.0,16375.0,8.0
Year 3,P16,4,J,13100.0,32750.0,16.0
Year 3,P17,1,K,13100.0,9825.0,5.0
Year 3,P17,2,L,13100.0,39300.0,19.0
Year 3,P17,3,M,13100.0,45850.0,22.0
Year 3,P18,1,K,19200.0,14400.0,12.0
Year 3,P18,2,L,19200.0,24000.0,12.0
Year 3,P18,3,K,19200.0,9600.0,12.0
Year 3,P18,4,M,19200.0,72000.0,35.0
Year 3,P19,1,L,27600.0,62100.0,56.0
Year 3,P19,2,M,27600.0,69000.0,82.0
Year 3,P19,3,L,27600.0,55200.0,56.0
Year 3,P19,4,M,27600.0,103500.0,82.0
Year 3,P20,1,L,22500.0,45000.0,22.0
Year 3,P20,2,K,22500.0,16875.0,8.0
Year 3,P20,3,M,22500.0,67500.0,32.0
Year 4,P1,1,B,28500.0,71250.0,68.0
Year 4,P1,2,A,28500.0,28500.0,14.0
Year 4,P1,3,B,28500.0,71250.0,68.0
Year 4,P1,4,C,28500.0,14250.0,7.0
Year 4,P1,5,D,28500.0,71250.0,34.0
Year 4,P1,6,I,28500.0,35625.0,17.0
Year 4,P1,7,J,28500.0,71250.0,34.0
Year 4,P2,1,A,15200.0,19000.0,9.0
Year 4,P2,2,C,15200.0,7600.0,4.0
Year 4,P2,3,D,15200.0,38000.0,18.0
Year 4,P2,4,H,15200.0,15200.0,8.0
Year 4,P2,5,J,15200.0,38000.0,18.0
Year 4,P3,1,B,21400.0,37450.0,18.0
Year 4,P3,2,D,21400.0,64200.0,31.0
Year 4,P3,3,C,21400.0,16050.0,8.0
Year 4,P3,4,I,21400.0,32100.0,16.0
Year 4,P3,5,J,21400.0,53500.0,26.0
Year 4,P4,1,A,10800.0,10800.0,6.0
Year 4,P4,2,B,10800.0,21600.0,11.0
Year 4,P4,3,D,10800.0,32400.0,16.0
Year 4,P4,4,G,10800.0,2700.0,2.0
Year 4,P4,5,H,10800.0,13500.0,7.0
Year 4,P5,1,B,10700.0,16050.0,8.0
Year 4,P5,2,C,10700.0,8025.0,4.0
Year 4,P5,3,D,10700.0,37450.0,18.0
Year 4,P5,4,I,10700.0,18725.0,9.0
Year 4,P6,1,A,11100.0,8325.0,4.0
Year 4,P6,2,B,11100.0,13875.0,7.0
Year 4,P6,3,C,11100.0,5550.0,3.0
Year 4,P6,4,D,11100.0,33300.0,16.0
Year 4,P6,5,H,11100.0,11100.0,6.0
Year 4,P6,6,I,11100.0,13875.0,7.0
Year 4,P6,7,J,11100.0,30525.0,15.0
Year 4,P7,1,E,16900.0,16900.0,8.0
Year 4,P7,2,F,16900.0,25350.0,12.0
Year 4,P7,3,C,16900.0,12675.0,6.0
Year 4,P7,4,D,16900.0,59150.0,28.0
Year 4,P7,5,I,16900.0,21125.0,10.0
Year 4,P7,6,J,16900.0,33800.0,16.0
Year 4,P8,1,E,19600.0,24500.0,12.0
Year 4,P8,2,H,19600.0,39200.0,19.0
Year 4,P8,3,J,19600.0,9800.0,5.0
Year 4,P8,4,I,19600.0,19600.0,10.0
Year 4,P9,1,F,13200.0,23100.0,11.0
Year 4,P9,2,G,13200.0,9900.0,8.0
Year 4,P9,3,E,13200.0,16500.0,8.0
Year 4,P9,4,G,13200.0,6600.0,8.0
Year 4,P9,5,I,13200.0,16500.0,8.0
Year 4,P9,6,J,13200.0,39600.0,19.0
Year 4,P10,1,E,7600.0,11400.0,6.0
Year 4,P10,2,F,7600.0,13300.0,7.0
Year 4,P10,3,I,7600.0,9500.0,5.0
Year 4,P10,4,J,7600.0,15200.0,8.0
Year 4,P11,1,E,22400.0,28000.0,27.0
Year 4,P11,2,G,22400.0,11200.0,8.0
Year 4,P11,3,E,22400.0,28000.0,27.0
Year 4,P11,4,G,22400.0,5600.0,8.0
Year 4,P11,5,I,22400.0,16800.0,8.0
Year 4,P12,1,E,25200.0,25200.0,12.0
Year 4,P12,2,G,25200.0,12600.0,6.0
Year 4,P12,3,F,25200.0,25200.0,12.0
Year 4,P12,4,I,25200.0,31500.0,15.0
Year 4,P12,5,J,25200.0,56700.0,27.0
Year 4,P13,1,E,12100.0,15125.0,8.0
Year 4,P13,2,F,12100.0,15125.0,13.0
Year 4,P13,3,G,12100.0,6050.0,5.0
Year 4,P13,4,F,12100.0,12100.0,13.0
Year 4,P13,5,G,12100.0,3025.0,5.0
Year 4,P13,6,H,12100.0,24200.0,12.0
Year 4,P13,7,I,12100.0,15125.0,8.0
Year 4,P14,1,E,25800.0,25800.0,13.0
Year 4,P14,2,F,25800.0,38700.0,19.0
Year 4,P14,3,G,25800.0,12900.0,7.0
Year 4,P14,4,H,25800.0,45150.0,22.0
Year 4,P15,1,E,9400.0,7050.0,4.0
Year 4,P15,2,G,9400.0,4700.0,3.0
Year 4,P15,3,F,9400.0,11750.0,6.0
Year 4,P15,4,H,9400.0,23500.0,12.0
Year 4,P15,5,J,9400.0,23500.0,12.0
Year 4,P16,1,F,13400.0,16750.0,8.0
Year 4,P16,2,H,13400.0,67000.0,32.0
Year 4,P16,3,I,13400.0,16750.0,8.0
Year 4,P16,4,J,13400.0,33500.0,16.0
Year 4,P17,1,K,15400.0,11550.0,6.0
Year 4,P17,2,L,15400.0,46200.0,22.0
Year 4,P17,3,M,15400.0,53900.0,26.0
Year 4,P18,1,K,20700.0,15525.0,13.0
Year 4,P18,2,L,20700.0,25875.0,13.0
Year 4,P18,3,K,20700.0,10350.0,13.0
Year 4,P18,4,M,20700.0,77625.0,37.0
Year 4,P19,1,L,29400.0,66150.0,60.0
Year 4,P19,2,M,29400.0,73500.0,87.0
Year 4,P19,3,L,29400.0,58800.0,60.0
Year 4,P19,4,M,29400.0,110250.0,87.0
Year 4,P20,1,L,23900.0,47800.0,23.0
Year 4,P20,2,K,23900.0,17925.0,9.0
Year 4,P20,3,M,23900.0,71700.0,34.0
Year 5,P1,1,B,29800.0,74500.0,71.0
Year 5,P1,2,A,29800.0,29800.0,15.0
Year 5,P1,3,B,29800.0,74500.0,71.0
Year 5,P1,4,C,29800.0,14900.0,8.0
Year 5,P1,5,D,29800.0,74500.0,36.0
Year 5,P1,6,I,29800.0,37250.0,18.0
Year 5,P1,7,J,29800.0,74500.0,36.0
Year 5,P2,1,A,14800.0,18500.0,9.0
Year 5,P2,2,C,14800.0,7400.0,4.0
Year 5,P2,3,D,14800.0,37000.0,18.0
Year 5,P2,4,H,14800.0,14800.0,7.0
Year 5,P2,5,J,14800.0,37000.0,18.0
Year 5,P3,1,B,26900.0,47075.0,23.0
Year 5,P3,2,D,26900.0,80700.0,39.0
Year 5,P3,3,C,26900.0,20175.0,10.0
Year 5,P3,4,I,26900.0,40350.0,20.0
Year 5,P3,5,J,26900.0,67250.0,32.0
Year 5,P4,1,A,11100.0,11100.0,6.0
Year 5,P4,2,B,11100.0,22200.0,11.0
Year 5,P4,3,D,11100.0,33300.0,16.0
Year 5,P4,4,G,11100.0,2775.0,2.0
Year 5,P4,5,H,11100.0,13875.0,7.0
Year 5,P5,1,B,12100.0,18150.0,9.0
Year 5,P5,2,C,12100.0,9075.0,5.0
Year 5,P5,3,D,12100.0,42350.0,21.0
Year 5,P5,4,I,12100.0,21175.0,11.0
Year 5,P6,1,A,12500.0,9375.0,5.0
Year 5,P6,2,B,12500.0,15625.0,8.0
Year 5,P6,3,C,12500.0,6250.0,3.0
Year 5,P6,4,D,12500.0,37500.0,18.0
Year 5,P6,5,H,12500.0,12500.0,6.0
Year 5,P6,6,I,12500.0,15625.0,8.0
Year 5,P6,7,J,12500.0,34375.0,17.0
Year 5,P7,1,E,17000.0,17000.0,9.0
Year 5,P7,2,F,17000.0,25500.0,13.0
Year 5,P7,3,C,17000.0,12750.0,7.0
Year 5,P7,4,D,17000.0,59500.0,29.0
Year 5,P7,5,I,17000.0,21250.0,11.0
Year 5,P7,6,J,17000.0,34000.0,17.0
Year 5,P8,1,E,24600.0,30750.0,15.0
Year 5,P8,2,H,24600.0,49200.0,24.0
Year 5,P8,3,J,24600.0,12300.0,6.0
Year 5,P8,4,I,24600.0,24600.0,12.0
Year 5,P9,1,F,14600.0,25550.0,13.0
Year 5,P9,2,G,14600.0,10950.0,9.0
Year 5,P9,3,E,14600.0,18250.0,9.0
Year 5,P9,4,G,14600.0,7300.0,9.0
Year 5,P9,5,I,14600.0,18250.0,9.0
Year 5,P9,6,J,14600.0,43800.0,21.0
Year 5,P10,1,E,8000.0,12000.0,6.0
Year 5,P10,2,F,8000.0,14000.0,7.0
Year 5,P10,3,I,8000.0,10000.0,5.0
Year 5,P10,4,J,8000.0,16000.0,8.0
Year 5,P11,1,E,27800.0,34750.0,33.0
Year 5,P11,2,G,27800.0,13900.0,10.0
Year 5,P11,3,E,27800.0,34750.0,33.0
Year 5,P11,4,G,27800.0,6950.0,10.0
Year 5,P11,5,I,27800.0,20850.0,10.0
Year 5,P12,1,E,29800.0,29800.0,15.0
Year 5,P12,2,G,29800.0,14900.0,8.0
Year 5,P12,3,F,29800.0,29800.0,15.0
Year 5,P12,4,I,29800.0,37250.0,18.0
Year 5,P12,5,J,29800.0,67050.0,32.0
Year 5,P13,1,E,14400.0,18000.0,9.0
Year 5,P13,2,F,14400.0,18000.0,16.0
Year 5,P13,3,G,14400.0,7200.0,6.0
Year 5,P13,4,F,14400.0,14400.0,16.0
Year 5,P13,5,G,14400.0,3600.0,6.0
Year 5,P13,6,H,14400.0,28800.0,14.0
Year 5,P13,7,I,14400.0,18000.0,9.0
Year 5,P14,1,E,26800.0,26800.0,13.0
Year 5,P14,2,F,26800.0,40200.0,19.0
Year 5,P14,3,G,26800.0,13400.0,7.0
Year 5,P14,4,H,26800.0,46900.0,23.0
Year 5,P15,1,E,12200.0,9150.0,5.0
Year 5,P15,2,G,12200.0,6100.0,3.0
Year 5,P15,3,F,12200.0,15250.0,8.0
Year 5,P15,4,H,12200.0,30500.0,15.0
Year 5,P15,5,J,12200.0,30500.0,15.0
Year 5,P16,1,F,13700.0,17125.0,9.0
Year 5,P16,2,H,13700.0,68500.0,33.0
Year 5,P16,3,I,13700.0,17125.0,9.0
Year 5,P16,4,J,13700.0,34250.0,17.0
Year 5,P17,1,K,18600.0,13950.0,7.0
Year 5,P17,2,L,18600.0,55800.0,27.0
Year 5,P17,3,M,18600.0,65100.0,31.0
Year 5,P18,1,K,22300.0,16725.0,14.0
Year 5,P18,2,L,22300.0,27875.0,14.0
Year 5,P18,3,K,22300.0,11150.0,14.0
Year 5,P18,4,M,22300.0,83625.0,40.0
Year 5,P19,1,L,31500.0,70875.0,64.0
Year 5,P19,2,M,31500.0,78750.0,94.0
Year 5,P19,3,L,31500.0,63000.0,64.0
Year 5,P19,4,M,31500.0,118125.0,94.0
Year 5,P20,1,L,25700.0,51400.0,25.0
Year 5,P20,2,K,25700.0,19275.0,10.0
Year 5,P20,3,M,25700.0,77100.0,37.0
