Year,Part,Annual_Demand_Units,Weekly_Demand_Units,Weekly_StdDev_Units,Total_Process_Time_Min,Required_Capacity_Min_Week,Safety_Stock_Units
Year 2,P14,1279200.0,24600.0,2099.203658533397,4.75,132482.9931972789,5407.190297767384
Year 2,P15,312000.0,6000.0,610.0098359862733,7.5,51020.4081632653,1571.2812109865013
Year 2,P16,665600.0,12800.0,2196.724834839357,10.0,145124.716553288,5658.388201412834
Year 2,P17,561600.0,10800.0,950.8522493005945,7.25,88775.51020408163,2449.233087093856
Year 2,P18,920400.0,17700.0,1662.1495119272513,7.75,155527.21088435373,4281.4134197017165
Year 2,P19,1341600.0,25800.0,2438.258394838414,10.5,307142.85714285716,6280.5374230488915
Year 2,P2,800800.0,15400.0,1448.6241748638602,9.0,157142.85714285713,3731.4085994436773
Year 2,P20,1097200.0,21100.0,1914.6467037028006,8.0,191383.21995464852,4931.803085340983
Year 2,P3,655200.0,12600.0,951.722648674497,9.5,135714.2857142857,2451.4750873069443
Year 2,P4,530400.0,10200.0,1199.7066308060485,10.0,115646.25850340136,3090.2394952921413
Year 2,P5,462800.0,8900.0,1180.9000804471139,7.5,75680.27210884354,3041.7970317789295
Year 2,P6,452400.0,8700.0,743.9576600855723,13.0,128231.2925170068,1916.3079414480894
Year 2,P7,878800.0,16900.0,2062.6335108302687,10.0,191609.97732426305,5312.991839678554
Year 2,P8,634400.0,12200.0,898.3473715662556,4.75,65702.94784580499,2313.9894844464934
Year 2,P9,592800.0,11400.0,1375.2817893071951,8.5,109863.94557823129,3542.491133534638
Year 3,P1,1419600.0,27300.0,2562.2466704047056,12.75,394642.85714285716,6599.910056549042
Year 3,P10,374400.0,7200.0,648.1234450318859,6.5,53061.22448979592,1669.4553620301967
Year 3,P11,977600.0,18800.0,2180.7668376055244,4.0,85260.77097505669,5617.283124511976
Year 3,P12,1128400.0,21700.0,2104.7966647636063,6.0,147619.0476190476,5421.5969271100885
Year 3,P13,551200.0,10600.0,1134.0793623023037,7.5,90136.05442176871,2921.194853968324
Year 3,P14,1310400.0,25200.0,1932.6127392729254,4.75,135714.2857142857,4978.080526231112
Year 3,P15,400400.0,7700.0,851.0910644578522,7.5,65476.19047619047,2192.2653038191615
Year 3,P16,681200.0,13100.0,2339.3161393877485,10.0,148526.07709750568,6025.679062099846
Year 3,P17,681200.0,13100.0,1169.6307109511104,7.25,107681.40589569161,3012.7690595986037
Year 3,P18,998400.0,19200.0,1799.3523834980185,7.75,168707.48299319728,4634.824596824755
Year 3,P19,1435200.0,27600.0,2569.9626456429282,10.5,328571.4285714286,6619.785091673113
Year 3,P2,795600.0,15300.0,1423.3256830395494,9.0,156122.44897959183,3666.2440028670253
Year 3,P20,1170000.0,22500.0,1987.4043373204156,8.0,204081.6326530612,5119.21433007011
Year 3,P3,884000.0,17000.0,1292.1331200770298,9.5,183106.57596371882,3328.3143547804834
Year 3,P4,546000.0,10500.0,1258.1955332936134,10.0,119047.61904761905,3240.8969242520257
Year 3,P5,509600.0,9800.0,1264.406975621378,7.5,83333.33333333333,3256.8965394171855
Year 3,P6,514800.0,9900.0,856.467162242663,13.0,145918.3673469388,2206.113214032022
Year 3,P7,878800.0,16900.0,1939.8566957381156,10.0,191609.97732426305,4996.739721567781
Year 3,P8,826800.0,15900.0,1171.2915947790286,4.75,85629.25170068027,3017.0472128323463
Year 3,P9,639600.0,12300.0,1391.4830218152142,8.5,118537.41496598639,3584.2227429824025
Year 4,P1,1482000.0,28500.0,2710.1086694079263,12.75,411989.79591836734,6980.777326462856
Year 4,P10,395200.0,7600.0,685.5778584522694,6.5,56009.07029478458,1765.9315376656557
Year 4,P11,1164800.0,22400.0,2694.6955301109624,4.0,101587.30158730158,6941.075710602056
Year 4,P12,1310400.0,25200.0,2517.4558586001067,6.0,171428.57142857142,6484.536570973012
Year 4,P13,629200.0,12100.0,1367.4871114566308,7.5,102891.15646258503,3522.413373915431
Year 4,P14,1341600.0,25800.0,1855.396453591523,4.75,138945.57823129251,4779.184554861752
Year 4,P15,488800.0,9400.0,1098.7993447395206,7.5,79931.97278911565,2830.3195509003876
Year 4,P16,696800.0,13400.0,2488.0514464134376,10.0,151927.43764172334,6408.79582440896
Year 4,P17,800800.0,15400.0,1429.2067730038225,7.25,126587.30158730158,3681.3926867338073
Year 4,P18,1076400.0,20700.0,2005.7938578029398,7.75,181887.75510204083,5166.582595807208
Year 4,P19,1528800.0,29400.0,2725.8290481979975,10.5,350000.0,7021.2703388132095
Year 4,P2,790400.0,15200.0,1427.0809367376469,9.0,155102.04081632654,3675.9168953848452
Year 4,P20,1242800.0,23900.0,2090.760627140276,8.0,216780.04535147393,5385.4424900941995
Year 4,P3,1112800.0,21400.0,1662.4848871493539,9.5,230498.86621315192,4282.277289026492
Year 4,P4,561600.0,10800.0,1328.2409419981,10.0,122448.97959183673,3421.321940572101
Year 4,P5,556400.0,10700.0,1370.4834913270572,7.5,90986.39455782312,3530.131536990239
Year 4,P6,577200.0,11100.0,975.369160882176,13.0,163605.44217687074,2512.3844663782106
Year 4,P7,878800.0,16900.0,1922.848147930564,10.0,191609.97732426305,4952.928605714277
Year 4,P8,1019200.0,19600.0,1461.376063852149,4.75,105555.55555555556,3764.255288775314
Year 4,P9,686400.0,13200.0,1466.3219291819923,8.5,127210.8843537415,3776.9949936233315
Year 5,P1,1549600.0,29800.0,2880.438334698384,12.75,430782.31292517006,7419.517469581693
Year 5,P10,416000.0,8000.0,727.8743023352315,6.5,58956.91609977324,1874.8799572553012
Year 5,P11,1445600.0,27800.0,3627.8969114350534,4.0,126077.09750566893,9344.84317472896
Year 5,P12,1549600.0,29800.0,3220.5024452715447,6.0,202721.08843537414,8295.464570681333
Year 5,P13,748800.0,14400.0,1818.5939623786285,7.5,122448.97959183673,4684.387619551978
Year 5,P14,1393600.0,26800.0,1890.2909828912584,4.75,144331.0657596372,4869.0669059655565
Year 5,P15,634400.0,12200.0,1584.732154024774,7.5,103741.49659863945,4081.9995206131825
Year 5,P16,712400.0,13700.0,2641.8932605235964,10.0,155328.79818594104,6805.066077305029
Year 5,P17,967200.0,18600.0,1899.5420500741752,7.25,152891.15646258503,4892.896075904413
Year 5,P18,1159600.0,22300.0,2291.6448241383305,7.75,195946.7120181406,5902.885891341678
Year 5,P19,1638000.0,31500.0,2906.2312364985687,10.5,375000.0,7485.9555818621675
Year 5,P2,769600.0,14800.0,1446.9885970525131,9.0,151020.4081632653,3727.1956301889754
Year 5,P20,1336400.0,25700.0,2230.339884412239,8.0,233106.57596371882,5744.974831142912
Year 5,P3,1398800.0,26900.0,2208.794241209443,9.5,289739.2290249433,5689.476932017342
Year 5,P4,577200.0,11100.0,1408.1193131265545,10.0,125850.34013605442,3627.074989644529
Year 5,P5,629200.0,12100.0,1550.7740002979158,7.5,102891.15646258503,3994.5291131491226
Year 5,P6,650000.0,12500.0,1108.6897672478085,13.0,184240.3628117914,2855.795591021715
Year 5,P7,884000.0,17000.0,2014.9719601026711,10.0,192743.7641723356,5190.223820661826
Year 5,P8,1279200.0,24600.0,1952.0204916957198,4.75,132482.9931972789,5028.071583637768
Year 5,P9,759200.0,14600.0,1644.6580191638625,8.5,140702.947845805,4236.358320078966
