Year,Part,From,To,Flow
Year 2,P11,E,G,15200.0
Year 2,P11,G,E,15200.0
Year 2,P11,G,I,15200.0
Year 2,P12,E,G,18200.0
Year 2,P12,F,I,18200.0
Year 2,P12,G,F,18200.0
Year 2,P12,I,J,18200.0
Year 2,P13,E,F,9100.0
Year 2,P13,F,G,9100.0
Year 2,P13,F,G,9100.0
Year 2,P13,G,F,9100.0
Year 2,P13,G,H,9100.0
Year 2,P13,H,I,9100.0
Year 2,P14,E,F,24600.0
Year 2,P14,F,G,24600.0
Year 2,P14,G,H,24600.0
Year 2,P15,E,G,6000.0
Year 2,P15,F,H,6000.0
Year 2,P15,G,F,6000.0
Year 2,P15,H,J,6000.0
Year 2,P16,F,H,12800.0
Year 2,P16,H,I,12800.0
Year 2,P16,I,J,12800.0
Year 2,P17,K,L,10800.0
Year 2,P17,L,M,10800.0
Year 2,P18,K,L,17700.0
Year 2,P18,K,M,17700.0
Year 2,P18,L,K,17700.0
Year 2,P19,L,M,25800.0
Year 2,P19,L,M,25800.0
Year 2,P19,M,L,25800.0
Year 2,P2,A,C,15400.0
Year 2,P2,C,D,15400.0
Year 2,P2,D,H,15400.0
Year 2,P2,H,J,15400.0
Year 2,P20,K,M,21100.0
Year 2,P20,L,K,21100.0
Year 2,P3,B,D,12600.0
Year 2,P3,C,I,12600.0
Year 2,P3,D,C,12600.0
Year 2,P3,I,J,12600.0
Year 2,P4,A,B,10200.0
Year 2,P4,B,D,10200.0
Year 2,P4,D,G,10200.0
Year 2,P4,G,H,10200.0
Year 2,P5,B,C,8900.0
Year 2,P5,C,D,8900.0
Year 2,P5,D,I,8900.0
Year 2,P6,A,B,8700.0
Year 2,P6,B,C,8700.0
Year 2,P6,C,D,8700.0
Year 2,P6,D,H,8700.0
Year 2,P6,H,I,8700.0
Year 2,P6,I,J,8700.0
Year 2,P7,C,D,16900.0
Year 2,P7,D,I,16900.0
Year 2,P7,E,F,16900.0
Year 2,P7,F,C,16900.0
Year 2,P7,I,J,16900.0
Year 2,P8,E,H,12200.0
Year 2,P8,H,J,12200.0
Year 2,P8,J,I,12200.0
Year 2,P9,E,G,11400.0
Year 2,P9,F,G,11400.0
Year 2,P9,G,E,11400.0
Year 2,P9,G,I,11400.0
Year 2,P9,I,J,11400.0
Year 3,P1,A,B,27300.0
Year 3,P1,B,A,27300.0
Year 3,P1,B,C,27300.0
Year 3,P1,C,D,27300.0
Year 3,P1,D,I,27300.0
Year 3,P1,I,J,27300.0
Year 3,P10,E,F,7200.0
Year 3,P10,F,I,7200.0
Year 3,P10,I,J,7200.0
Year 3,P11,E,G,18800.0
Year 3,P11,E,G,18800.0
Year 3,P11,G,E,18800.0
Year 3,P11,G,I,18800.0
Year 3,P12,E,G,21700.0
Year 3,P12,F,I,21700.0
Year 3,P12,G,F,21700.0
Year 3,P12,I,J,21700.0
Year 3,P13,E,F,10600.0
Year 3,P13,F,G,10600.0
Year 3,P13,F,G,10600.0
Year 3,P13,G,F,10600.0
Year 3,P13,G,H,10600.0
Year 3,P13,H,I,10600.0
Year 3,P14,E,F,25200.0
Year 3,P14,F,G,25200.0
Year 3,P14,G,H,25200.0
Year 3,P15,E,G,7700.0
Year 3,P15,F,H,7700.0
Year 3,P15,G,F,7700.0
Year 3,P15,H,J,7700.0
Year 3,P16,F,H,13100.0
Year 3,P16,H,I,13100.0
Year 3,P16,I,J,13100.0
Year 3,P17,K,L,13100.0
Year 3,P17,L,M,13100.0
Year 3,P18,K,L,19200.0
Year 3,P18,K,M,19200.0
Year 3,P18,L,K,19200.0
Year 3,P19,L,M,27600.0
Year 3,P19,L,M,27600.0
Year 3,P19,M,L,27600.0
Year 3,P2,A,C,15300.0
Year 3,P2,C,D,15300.0
Year 3,P2,D,H,15300.0
Year 3,P2,H,J,15300.0
Year 3,P20,K,M,22500.0
Year 3,P20,L,K,22500.0
Year 3,P3,B,D,17000.0
Year 3,P3,C,I,17000.0
Year 3,P3,D,C,17000.0
Year 3,P3,I,J,17000.0
Year 3,P4,A,B,10500.0
Year 3,P4,B,D,10500.0
Year 3,P4,D,G,10500.0
Year 3,P4,G,H,10500.0
Year 3,P5,B,C,9800.0
Year 3,P5,C,D,9800.0
Year 3,P5,D,I,9800.0
Year 3,P6,A,B,9900.0
Year 3,P6,B,C,9900.0
Year 3,P6,C,D,9900.0
Year 3,P6,D,H,9900.0
Year 3,P6,H,I,9900.0
Year 3,P6,I,J,9900.0
Year 3,P7,C,D,16900.0
Year 3,P7,D,I,16900.0
Year 3,P7,E,F,16900.0
Year 3,P7,F,C,16900.0
Year 3,P7,I,J,16900.0
Year 3,P8,E,H,15900.0
Year 3,P8,H,J,15900.0
Year 3,P8,J,I,15900.0
Year 3,P9,E,G,12300.0
Year 3,P9,F,G,12300.0
Year 3,P9,G,E,12300.0
Year 3,P9,G,I,12300.0
Year 3,P9,I,J,12300.0
Year 4,P1,A,B,28500.0
Year 4,P1,B,A,28500.0
Year 4,P1,B,C,28500.0
Year 4,P1,C,D,28500.0
Year 4,P1,D,I,28500.0
Year 4,P1,I,J,28500.0
Year 4,P10,E,F,7600.0
Year 4,P10,F,I,7600.0
Year 4,P10,I,J,7600.0
Year 4,P11,E,G,22400.0
Year 4,P11,E,G,22400.0
Year 4,P11,G,E,22400.0
Year 4,P11,G,I,22400.0
Year 4,P12,E,G,25200.0
Year 4,P12,F,I,25200.0
Year 4,P12,G,F,25200.0
Year 4,P12,I,J,25200.0
Year 4,P13,E,F,12100.0
Year 4,P13,F,G,12100.0
Year 4,P13,F,G,12100.0
Year 4,P13,G,F,12100.0
Year 4,P13,G,H,12100.0
Year 4,P13,H,I,12100.0
Year 4,P14,E,F,25800.0
Year 4,P14,F,G,25800.0
Year 4,P14,G,H,25800.0
Year 4,P15,E,G,9400.0
Year 4,P15,F,H,9400.0
Year 4,P15,G,F,9400.0
Year 4,P15,H,J,9400.0
Year 4,P16,F,H,13400.0
Year 4,P16,H,I,13400.0
Year 4,P16,I,J,13400.0
Year 4,P17,K,L,15400.0
Year 4,P17,L,M,15400.0
Year 4,P18,K,L,20700.0
Year 4,P18,K,M,20700.0
Year 4,P18,L,K,20700.0
Year 4,P19,L,M,29400.0
Year 4,P19,L,M,29400.0
Year 4,P19,M,L,29400.0
Year 4,P2,A,C,15200.0
Year 4,P2,C,D,15200.0
Year 4,P2,D,H,15200.0
Year 4,P2,H,J,15200.0
Year 4,P20,K,M,23900.0
Year 4,P20,L,K,23900.0
Year 4,P3,B,D,21400.0
Year 4,P3,C,I,21400.0
Year 4,P3,D,C,21400.0
Year 4,P3,I,J,21400.0
Year 4,P4,A,B,10800.0
Year 4,P4,B,D,10800.0
Year 4,P4,D,G,10800.0
Year 4,P4,G,H,10800.0
Year 4,P5,B,C,10700.0
Year 4,P5,C,D,10700.0
Year 4,P5,D,I,10700.0
Year 4,P6,A,B,11100.0
Year 4,P6,B,C,11100.0
Year 4,P6,C,D,11100.0
Year 4,P6,D,H,11100.0
Year 4,P6,H,I,11100.0
Year 4,P6,I,J,11100.0
Year 4,P7,C,D,16900.0
Year 4,P7,D,I,16900.0
Year 4,P7,E,F,16900.0
Year 4,P7,F,C,16900.0
Year 4,P7,I,J,16900.0
Year 4,P8,E,H,19600.0
Year 4,P8,H,J,19600.0
Year 4,P8,J,I,19600.0
Year 4,P9,E,G,13200.0
Year 4,P9,F,G,13200.0
Year 4,P9,G,E,13200.0
Year 4,P9,G,I,13200.0
Year 4,P9,I,J,13200.0
Year 5,P1,A,B,29800.0
Year 5,P1,B,A,29800.0
Year 5,P1,B,C,29800.0
Year 5,P1,C,D,29800.0
Year 5,P1,D,I,29800.0
Year 5,P1,I,J,29800.0
Year 5,P10,E,F,8000.0
Year 5,P10,F,I,8000.0
Year 5,P10,I,J,8000.0
Year 5,P11,E,G,27800.0
Year 5,P11,E,G,27800.0
Year 5,P11,G,E,27800.0
Year 5,P11,G,I,27800.0
Year 5,P12,E,G,29800.0
Year 5,P12,F,I,29800.0
Year 5,P12,G,F,29800.0
Year 5,P12,I,J,29800.0
Year 5,P13,E,F,14400.0
Year 5,P13,F,G,14400.0
Year 5,P13,F,G,14400.0
Year 5,P13,G,F,14400.0
Year 5,P13,G,H,14400.0
Year 5,P13,H,I,14400.0
Year 5,P14,E,F,26800.0
Year 5,P14,F,G,26800.0
Year 5,P14,G,H,26800.0
Year 5,P15,E,G,12200.0
Year 5,P15,F,H,12200.0
Year 5,P15,G,F,12200.0
Year 5,P15,H,J,12200.0
Year 5,P16,F,H,13700.0
Year 5,P16,H,I,13700.0
Year 5,P16,I,J,13700.0
Year 5,P17,K,L,18600.0
Year 5,P17,L,M,18600.0
Year 5,P18,K,L,22300.0
Year 5,P18,K,M,22300.0
Year 5,P18,L,K,22300.0
Year 5,P19,L,M,31500.0
Year 5,P19,L,M,31500.0
Year 5,P19,M,L,31500.0
Year 5,P2,A,C,14800.0
Year 5,P2,C,D,14800.0
Year 5,P2,D,H,14800.0
Year 5,P2,H,J,14800.0
Year 5,P20,K,M,25700.0
Year 5,P20,L,K,25700.0
Year 5,P3,B,D,26900.0
Year 5,P3,C,I,26900.0
Year 5,P3,D,C,26900.0
Year 5,P3,I,J,26900.0
Year 5,P4,A,B,11100.0
Year 5,P4,B,D,11100.0
Year 5,P4,D,G,11100.0
Year 5,P4,G,H,11100.0
Year 5,P5,B,C,12100.0
Year 5,P5,C,D,12100.0
Year 5,P5,D,I,12100.0
Year 5,P6,A,B,12500.0
Year 5,P6,B,C,12500.0
Year 5,P6,C,D,12500.0
Year 5,P6,D,H,12500.0
Year 5,P6,H,I,12500.0
Year 5,P6,I,J,12500.0
Year 5,P7,C,D,17000.0
Year 5,P7,D,I,17000.0
Year 5,P7,E,F,17000.0
Year 5,P7,F,C,17000.0
Year 5,P7,I,J,17000.0
Year 5,P8,E,H,24600.0
Year 5,P8,H,J,24600.0
Year 5,P8,J,I,24600.0
Year 5,P9,E,G,14600.0
Year 5,P9,F,G,14600.0
Year 5,P9,G,E,14600.0
Year 5,P9,G,I,14600.0
Year 5,P9,I,J,14600.0
