Process,Part,Weekly_Part_Demand,Time_Per_Unit_Minutes,Total_Weekly_Minutes
SUBTOTAL_SUBTOTAL_H,ALL,66346.15384615384,,142980.76923076925
I,P1,20961.53846153846,1.25,26201.92307692308
I,P10,4615.384615384615,1.25,5769.2307692307695
I,P11,8076.923076923077,0.75,6057.692307692308
I,P12,10000.0,1.25,12500.0
I,P13,5000.0,1.25,6250.0
I,P16,11923.076923076924,1.25,14903.846153846154
I,P3,6153.846153846154,1.5,9230.76923076923
I,P5,6923.076923076923,1.75,12115.384615384615
I,P6,4038.4615384615386,1.25,5048.076923076923
I,P7,13846.153846153848,1.25,17307.69230769231
I,P8,4615.384615384615,1.0,4615.384615384615
I,P9,8846.153846153846,1.25,11057.692307692309
SUBTOTAL_I,ALL,104999.99999999999,,131057.69230769231
SUBTOTAL_I,ALL,105000.0,,131057.69230769233
SUBTOTAL_SUBTOTAL_I,ALL,105000.0,,131057.69230769233
J,P1,20961.53846153846,2.5,52403.84615384616
J,P10,4615.384615384615,2.0,9230.76923076923
J,P12,10000.0,2.25,22500.0
J,P15,2307.692307692308,2.5,5769.2307692307695
J,P16,11923.076923076924,2.5,29807.69230769231
J,P2,11153.846153846152,2.5,27884.615384615383
J,P3,6153.846153846154,2.5,15384.615384615388
J,P6,4038.4615384615386,2.75,11105.76923076923
J,P7,13846.153846153848,2.0,27692.30769230769
J,P8,4615.384615384615,0.5,2307.692307692308
J,P9,8846.153846153846,3.0,26538.46153846154
SUBTOTAL_J,ALL,98461.53846153845,,230625.0
SUBTOTAL_J,ALL,98461.53846153844,,230625.0
SUBTOTAL_SUBTOTAL_J,ALL,98461.53846153844,,230625.0
K,P17,5000.0,0.75,3750.0
K,P18,11923.076923076924,0.75,8942.307692307693
K,P18,11923.076923076924,0.5,5961.538461538462
K,P20,14807.692307692309,0.75,11105.76923076923
SUBTOTAL_K,ALL,43653.846153846156,,29759.615384615387
SUBTOTAL_K,ALL,43653.84615384616,,29759.615384615387
SUBTOTAL_SUBTOTAL_K,ALL,43653.84615384616,,29759.615384615387
L,P17,5000.0,3.0,15000.0
L,P18,11923.076923076924,1.25,14903.846153846154
L,P19,20000.0,2.25,45000.0
L,P19,20000.0,2.0,40000.0
L,P20,14807.692307692309,2.0,29615.384615384613
SUBTOTAL_L,ALL,71730.76923076923,,144519.23076923078
SUBTOTAL_L,ALL,71730.76923076923,,144519.23076923078
SUBTOTAL_SUBTOTAL_L,ALL,71730.76923076923,,144519.23076923078
M,P17,5000.0,3.5,17500.0
M,P18,11923.076923076924,3.75,44711.53846153846
M,P19,20000.0,2.5,50000.0
M,P19,20000.0,3.75,75000.0
M,P20,14807.692307692309,3.0,44423.07692307692
SUBTOTAL_M,ALL,71730.76923076923,,231634.61538461538
SUBTOTAL_M,ALL,71730.76923076923,,231634.61538461535
SUBTOTAL_SUBTOTAL_M,ALL,71730.76923076923,,231634.61538461535
