Part,Step,Operation,Weekly_Demand_Units,Time_Required_Min_Week,Number_of_Machines
P2,4,H,11153.846153846152,11153.846153846152,3.0
P2,5,J,11153.846153846152,27884.615384615383,7.0
P2,TOTAL,ALL,11153.846153846152,86442.30769230769,23.0
P2,TOTAL,ALL,11153.846153846152,172884.61538461538,46.0
P2,TOTAL,ALL,11153.846153846152,345769.23076923075,92.0
P20,1,L,14807.692307692309,29615.384615384613,7.0
P20,2,K,14807.692307692309,11105.76923076923,3.0
P20,3,M,14807.692307692309,44423.07692307692,11.0
P20,TOTAL,ALL,14807.692307692309,85144.23076923077,21.0
P20,TOTAL,ALL,14807.692307692309,170288.46153846153,42.0
P20,TOTAL,ALL,14807.692307692309,340576.92307692306,84.0
P3,1,B,6153.846153846154,10769.23076923077,3.0
P3,2,D,6153.846153846154,18461.53846153846,5.0
P3,3,C,6153.846153846154,4615.384615384615,2.0
P3,4,I,6153.846153846154,9230.76923076923,3.0
P3,5,J,6153.846153846154,15384.615384615388,4.0
P3,TOTAL,ALL,6153.846153846154,58461.53846153847,17.0
P3,TOTAL,ALL,6153.846153846154,116923.07692307694,34.0
P3,TOTAL,ALL,6153.846153846154,233846.15384615387,68.0
P4,1,A,9230.76923076923,9230.76923076923,3.0
P4,2,B,9230.76923076923,18461.53846153846,5.0
P4,3,D,9230.76923076923,27692.30769230769,7.0
P4,4,G,9230.76923076923,2307.692307692308,1.0
P4,5,H,9230.76923076923,11538.46153846154,3.0
P4,TOTAL,ALL,9230.76923076923,69230.76923076923,19.0
P4,TOTAL,ALL,9230.76923076923,138461.53846153847,38.0
P4,TOTAL,ALL,9230.76923076923,276923.07692307694,76.0
P5,1,B,6923.076923076923,10384.615384615385,3.0
P5,2,C,6923.076923076923,5192.307692307692,2.0
P5,3,D,6923.076923076923,24230.76923076923,6.0
P5,4,I,6923.076923076923,12115.384615384615,3.0
P5,TOTAL,ALL,6923.076923076923,51923.07692307692,14.0
P5,TOTAL,ALL,6923.076923076923,103846.15384615384,28.0
P5,TOTAL,ALL,6923.076923076923,207692.3076923077,56.0
P6,1,A,4038.4615384615386,3028.846153846154,1.0
P6,2,B,4038.4615384615386,5048.076923076923,2.0
P6,3,C,4038.4615384615386,2019.2307692307693,1.0
P6,4,D,4038.4615384615386,12115.384615384615,3.0
P6,5,H,4038.4615384615386,4038.4615384615386,1.0
P6,6,I,4038.4615384615386,5048.076923076923,2.0
P6,7,J,4038.4615384615386,11105.76923076923,3.0
P6,TOTAL,ALL,4038.4615384615386,42403.84615384616,13.0
P6,TOTAL,ALL,4038.4615384615386,84807.69230769231,26.0
P6,TOTAL,ALL,4038.4615384615386,169615.38461538462,52.0
P7,1,E,13846.153846153848,13846.153846153848,4.0
P7,2,F,13846.153846153848,20769.230769230773,5.0
P7,3,C,13846.153846153848,10384.615384615388,3.0
P7,4,D,13846.153846153848,48461.53846153847,12.0
P7,5,I,13846.153846153848,17307.69230769231,5.0
P7,6,J,13846.153846153848,27692.30769230769,7.0
P7,TOTAL,ALL,13846.153846153848,138461.53846153847,36.0
P7,TOTAL,ALL,13846.153846153848,276923.07692307694,72.0
P7,TOTAL,ALL,13846.153846153848,553846.1538461539,144.0
P8,1,E,4615.384615384615,5769.2307692307695,2.0
P8,2,H,4615.384615384615,9230.76923076923,3.0
P8,3,J,4615.384615384615,2307.692307692308,1.0
P8,4,I,4615.384615384615,4615.384615384615,2.0
P8,TOTAL,ALL,4615.384615384615,21923.07692307692,8.0
P8,TOTAL,ALL,4615.384615384615,43846.15384615384,16.0
P8,TOTAL,ALL,4615.384615384615,87692.30769230769,32.0
P9,1,F,8846.153846153846,15480.76923076923,4.0
P9,2,G,8846.153846153846,6634.615384615385,3.0
P9,3,E,8846.153846153846,11057.692307692309,3.0
P9,4,G,8846.153846153846,4423.076923076923,3.0
P9,5,I,8846.153846153846,11057.692307692309,3.0
P9,6,J,8846.153846153846,26538.46153846154,7.0
P9,TOTAL,ALL,8846.153846153846,75192.30769230769,23.0
P9,TOTAL,ALL,8846.153846153846,150384.61538461538,46.0
P9,TOTAL,ALL,8846.153846153846,300769.23076923075,92.0
